vehicle_id,source_lat,source_lng,target_lat,target_lng
3,30.34319359,-9.48365033,30.34309907,-9.48394952
3,30.34309907,-9.48394952,30.343088,-9.484129
3,30.343088,-9.484129,30.34231553,-9.48398129
3,30.34231553,-9.48398129,30.34261436,-9.48681965
3,30.34261436,-9.48681965,30.34357111,-9.48679929
3,30.34357111,-9.48679929,30.34377989,-9.48704428
3,30.34377989,-9.48704428,30.34476802,-9.48728252
3,30.34476802,-9.48728252,30.34246778,-9.48732761
3,30.34246778,-9.48732761,30.340813,-9.489164
3,30.340813,-9.489164,30.33879655,-9.49379874
3,30.33879655,-9.49379874,30.342871,-9.497241
3,30.342871,-9.497241,30.344786,-9.497481
3,30.344786,-9.497481,30.344465,-9.496954
3,30.344465,-9.496954,30.34654379,-9.49824428
3,30.34654379,-9.49824428,30.34731841,-9.50024279
3,30.34731841,-9.50024279,30.37199821,-9.50268203
3,30.37199821,-9.50268203,30.371467,-9.5019173
3,30.371467,-9.5019173,30.37339332,-9.50040411
3,30.37339332,-9.50040411,30.37313635,-9.50192766
3,30.37313635,-9.50192766,30.37345646,-9.50268076
3,30.37345646,-9.50268076,30.37385612,-9.50256924
3,30.37385612,-9.50256924,30.3742359,-9.50202049
3,30.3742359,-9.50202049,30.37438794,-9.50078057
3,30.37438794,-9.50078057,30.37460818,-9.50025556
3,30.37460818,-9.50025556,30.37452829,-9.50022557
3,30.37452829,-9.50022557,30.37546886,-9.49898856
3,30.37546886,-9.49898856,30.37548677,-9.49886731
3,30.37548677,-9.49886731,30.37613251,-9.49904527
3,30.37613251,-9.49904527,30.3765403,-9.49896781
3,30.3765403,-9.49896781,30.37668181,-9.49805266
3,30.37668181,-9.49805266,30.37620086,-9.49820155
3,30.37620086,-9.49820155,30.37603064,-9.49817552
3,30.37603064,-9.49817552,30.37583401,-9.49829284
3,30.37583401,-9.49829284,30.37427682,-9.49784944
3,30.37427682,-9.49784944,30.37414231,-9.49754501
3,30.37414231,-9.49754501,30.37443082,-9.49754624
3,30.37443082,-9.49754624,30.37488402,-9.49579345
3,30.37488402,-9.49579345,30.3763088,-9.49436855
3,30.3763088,-9.49436855,30.376289,-9.494592
3,30.376289,-9.494592,30.3782827,-9.49349298
3,30.3782827,-9.49349298,30.37835572,-9.49348683
3,30.37835572,-9.49348683,30.3798982,-9.49483002
3,30.3798982,-9.49483002,30.38207835,-9.49406874
3,30.38207835,-9.49406874,30.38157889,-9.49785011
3,30.38157889,-9.49785011,30.38020893,-9.49927885
3,30.38020893,-9.49927885,30.3785903,-9.49810652
3,30.3785903,-9.49810652,30.3788181,-9.49723108
3,30.3788181,-9.49723108,30.37890964,-9.49722938
3,30.37890964,-9.49722938,30.37908056,-9.49776412
3,30.37908056,-9.49776412,30.37949664,-9.50033936
3,30.37949664,-9.50033936,30.37851453,-9.5010169
3,30.37851453,-9.5010169,30.37599032,-9.50207036
3,30.37599032,-9.50207036,30.37540741,-9.50237082
3,30.37540741,-9.50237082,30.37547855,-9.50156302
3,30.37547855,-9.50156302,30.37678123,-9.50112437
3,30.37678123,-9.50112437,30.37754588,-9.50152642
3,30.37754588,-9.50152642,30.37872942,-9.50329829
3,30.37872942,-9.50329829,30.381956,-9.503287
3,30.381956,-9.503287,30.39116735,-9.51665584
3,30.39116735,-9.51665584,30.390433,-9.522205570492089
4,30.390433,-9.522205570492089,30.43011611,-9.55406754
4,30.43011611,-9.55406754,30.42970021,-9.55543673
4,30.42970021,-9.55543673,30.42987935,-9.55617737
4,30.42987935,-9.55617737,30.42873428,-9.5571795
4,30.42873428,-9.5571795,30.42900894,-9.55796323
4,30.42900894,-9.55796323,30.42911182,-9.55771983
4,30.42911182,-9.55771983,30.43001097,-9.55904464
4,30.43001097,-9.55904464,30.4301533,-9.55883344
4,30.4301533,-9.55883344,30.43176469,-9.55810226
4,30.43176469,-9.55810226,30.43208437,-9.5575505
4,30.43208437,-9.5575505,30.43208634,-9.55655615
4,30.43208634,-9.55655615,30.43043734,-9.55667615
4,30.43043734,-9.55667615,30.43147786,-9.5568926
4,30.43147786,-9.5568926,30.43210279,-9.55586126
4,30.43210279,-9.55586126,30.43257978,-9.5554822
4,30.43257978,-9.5554822,30.43261916,-9.5552858
4,30.43261916,-9.5552858,30.43293217,-9.55409323
4,30.43293217,-9.55409323,30.4330212,-9.55340875
4,30.4330212,-9.55340875,30.43421407,-9.5540286
4,30.43421407,-9.5540286,30.43418119,-9.5539381
4,30.43418119,-9.5539381,30.43492547,-9.55498613
4,30.43492547,-9.55498613,30.43475088,-9.55517005
4,30.43475088,-9.55517005,30.43475982,-9.55529304
4,30.43475982,-9.55529304,30.43594149,-9.55564916
4,30.43594149,-9.55564916,30.4362634,-9.55512032
4,30.4362634,-9.55512032,30.43641346,-9.55426559
4,30.43641346,-9.55426559,30.43615503,-9.55408755
4,30.43615503,-9.55408755,30.43584959,-9.55319954
4,30.43584959,-9.55319954,30.43595365,-9.55227088
4,30.43595365,-9.55227088,30.43571652,-9.55218305
4,30.43571652,-9.55218305,30.43511033,-9.55168435
4,30.43511033,-9.55168435,30.43459726,-9.55098382
4,30.43459726,-9.55098382,30.43301878,-9.54947137
4,30.43301878,-9.54947137,30.43425451,-9.54773681
4,30.43425451,-9.54773681,30.43573928,-9.54832018
4,30.43573928,-9.54832018,30.43592822,-9.55051402
4,30.43592822,-9.55051402,30.43579353,-9.55135443
4,30.43579353,-9.55135443,30.43824242,-9.553147
4,30.43824242,-9.553147,30.43872079,-9.55359374
4,30.43872079,-9.55359374,30.43924997,-9.55383008
4,30.43924997,-9.55383008,30.43791553,-9.55472406
